Wall time,Step,Value
1673724926.633251,1,0.33559659123420715
1673724938.743876,2,0.3533806800842285
1673724951.088264,3,0.37420454621315
1673724963.489865,4,0.38286933302879333
1673724975.674896,5,0.38863635063171387
1673724988.077872,6,0.3909943103790283
1673725000.949467,7,0.3946875035762787
1673725013.01871,8,0.39596590399742126
1673725025.229453,9,0.3958238661289215
1673725037.053102,10,0.40232953429222107
1673725048.897668,11,0.39937499165534973
1673725060.860354,12,0.4008238613605499
1673725072.787311,13,0.4008522629737854
1673725084.740635,14,0.40659090876579285
1673725096.552781,15,0.4042329490184784
1673725108.541005,16,0.4063352346420288
1673725120.79908,17,0.4085511267185211
1673725132.853962,18,0.4126420319080353
1673725144.57598,19,0.4113352298736572
1673725156.68462,20,0.40772727131843567
1673725168.57882,21,0.40639203786849976
1673725180.759753,22,0.4074999988079071
1673725192.667834,23,0.4114488661289215
1673725204.469694,24,0.40704545378685
1673725216.701844,25,0.4117613732814789
1673725228.581036,26,0.41352272033691406
1673725240.866815,27,0.4081534147262573
1673725253.078359,28,0.4177272617816925
