Wall time,Step,Value
1673714963.914255,1,0.265625
1673714976.153635,2,0.27656251192092896
1673714988.493628,3,0.25
1673715001.046751,4,0.27031248807907104
1673715013.61881,5,0.25
1673715026.046508,6,0.2718749940395355
1673715038.447974,7,0.30156248807907104
1673715050.785152,8,0.2562499940395355
1673715063.111508,9,0.359375
1673715075.46235,10,0.3531250059604645
1673715087.740799,11,0.34843748807907104
1673715100.268751,12,0.2734375
1673715112.796861,13,0.3578124940395355
1673715125.224418,14,0.3421874940395355
1673715137.554653,15,0.2671875059604645
1673715149.932206,16,0.2953124940395355
1673715162.372855,17,0.3265624940395355
1673715174.805698,18,0.3765625059604645
1673715187.330023,19,0.33906251192092896
1673715199.844122,20,0.2828125059604645
1673715212.307198,21,0.25468748807907104
1673715224.735321,22,0.2874999940395355
1673715237.186387,23,0.26875001192092896
1673715249.818401,24,0.265625
1673715262.311931,25,0.2874999940395355
1673715274.816118,26,0.32499998807907104
1673715287.302435,27,0.2906250059604645
1673715299.742057,28,0.28125
1673715312.151309,29,0.2874999940395355
1673715324.623964,30,0.2984375059604645
1673715337.164159,31,0.2953124940395355
1673715349.806901,32,0.2750000059604645
1673715362.279579,33,0.3109374940395355
1673715374.898304,34,0.2890625
