Wall time,Step,Value
1673711667.766987,1,0.3375000059604645
1673711682.471215,2,0.31718748807907104
1673711694.76227,3,0.40156251192092896
1673711707.104751,4,0.3499999940395355
1673711719.490589,5,0.3125
1673711731.995201,6,0.3109374940395355
1673711744.54091,7,0.34062498807907104
1673711757.072302,8,0.3359375
1673711936.282064,9,0.3359375
1673711948.755371,10,0.3218750059604645
1673711961.205198,11,0.3265624940395355
1673711973.520771,12,0.3812499940395355
1673712015.526507,13,0.33906251192092896
1673712028.044475,14,0.3609375059604645
1673712040.438055,15,0.30781251192092896
1673712053.035223,16,0.30156248807907104
1673712183.642439,17,0.27812498807907104
1673712195.766427,18,0.2640624940395355
1673712208.044665,19,0.25468748807907104
1673712220.277924,20,0.30156248807907104
1673712232.626913,21,0.32499998807907104
1673712245.028657,22,0.3046875
1673712257.216417,23,0.3531250059604645
1673712284.388973,24,0.3109374940395355
1673712296.626179,25,0.33906251192092896
1673712315.159747,26,0.3296875059604645
1673712327.618772,27,0.3343749940395355
1673712339.947479,28,0.34062498807907104
1673712355.095496,29,0.3375000059604645
1673712367.344669,30,0.3265624940395355
1673712394.579278,31,0.32343751192092896
1673712406.704696,32,0.33906251192092896
1673712430.498936,33,0.328125
1673712442.675152,34,0.3515625
1673712454.911063,35,0.3375000059604645
1673712467.078082,36,0.33281248807907104
1673712479.596383,37,0.3140625059604645
