Wall time,Step,Value
1673712580.863997,1,0.328125
1673712593.155871,2,0.359375
1673712605.388319,3,0.4203124940395355
1673712617.684342,4,0.40625
1673712629.784653,5,0.4296875
1673712641.981884,6,0.38749998807907104
1673712654.259664,7,0.375
1673712666.397618,8,0.41874998807907104
1673712678.733299,9,0.3499999940395355
1673712691.06857,10,0.34843748807907104
1673712703.328591,11,0.35468751192092896
1673712715.614502,12,0.33125001192092896
1673712728.089533,13,0.3890624940395355
1673712740.324281,14,0.3812499940395355
1673712752.620392,15,0.4281249940395355
1673712765.081297,16,0.34062498807907104
1673712777.309079,17,0.32499998807907104
1673712789.601133,18,0.3218750059604645
1673712801.758456,19,0.3421874940395355
1673712813.96714,20,0.33125001192092896
1673712826.205963,21,0.29218751192092896
1673712838.643615,22,0.33125001192092896
1673712851.076922,23,0.33125001192092896
1673712863.690953,24,0.296875
1673712876.304439,25,0.29374998807907104
1673712888.626292,26,0.30781251192092896
1673712900.973545,27,0.33906251192092896
1673712913.248715,28,0.3578124940395355
1673712925.500904,29,0.3531250059604645
1673712937.733804,30,0.28125
1673712949.94136,31,0.3984375
1673712962.193573,32,0.35468751192092896
